ISO code,Country,Variable code,Variable name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AGO,Angola,avh,Average annual hours worked by persons engaged,,,,,,,2090.41,2093.11,2096.47,2099.03,2100.55,2083.48,2096.46,2098.27,2098.83,2099.62,2100.36,2100.35,2101.5,2102.45,2103.92,2015.3,2067.72,2109.06,2114.5
AGO,Angola,ccon,"Real consumption of households and government, at current PPPs (in mil. 2021US$)",29043.740234375,21994.458984375,29664.662109375,30415.580078125,32804.94140625,34084.55859375,37296.9296875,42706.08984375,48785,57666.640625,63989.91015625,72915.9140625,92711.203125,108946.046875,132125.921875,154146.84375,161999.9375,157984,163518.375,163980.21875,152289.09375,145932.125,145819.140625,164650.03125,167223.15625
AGO,Angola,cn,Capital stock at current PPPs (in mil. 2021US$),341980.25,342764,347008.8125,355636.875,365307.625,379006.6875,395104.65625,424624.28125,486195.5,591046.4375,742652.75,919790.75,1078727.875,1170629.875,1190952.875,1310791,1308671.75,1275201.875,1534771.125,1268128.625,1174152.875,833200.75,683729.4375,696243,703745.125
AGO,Angola,emp,Number of persons engaged (in millions),7.88511896133423,8.21021270751953,8.56436634063721,8.87292385101318,9.08421421051025,9.31517887115479,9.5755672454834,9.88819980621338,10.2060594558716,10.5227975845337,10.8330354690552,11.1688165664673,11.5439758300781,11.9227781295776,12.2837228775024,12.624852180481,12.9602308273315,13.3612470626831,13.7866048812866,14.2241430282593,14.692120552063,15.0938549041748,16.0949058532715,16.6855297088623,17.2608089447022
AGO,Angola,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",1.2801034450531,1.29694080352783,1.30848634243011,1.32013463973999,1.33188664913178,1.34374332427979,1.35570561885834,1.36777424812317,1.37995040416718,1.39223492145538,1.40462875366211,1.41713297367096,1.42419624328613,1.43129467964172,1.43842852115631,1.44559788703918,1.45280301570892,1.46004402637482,1.46732115745544,1.4746345281601,1.48198437690735,1.48937082290649,1.50713586807251,1.52565121650696,1.54495549201965
ALB,Albania,avh,Average annual hours worked by persons engaged,,,,,,,2343.9,2333.12,2334.51,2195.57,2191.19,2119.7,1852.72,2054.16,2128.41,1946.22,1969.74,2059.25,2081.27,2113.76,2142.84,2042.15,2125.82,2160.98,2151.97
ALB,Albania,ccon,"Real consumption of households and government, at current PPPs (in mil. 2021US$)",14054.54296875,14578.66015625,15621.82421875,16980.01953125,18694.8046875,19837.953125,21663.6796875,22805.306640625,25351.408203125,28011.021484375,29459.21875,28471.82421875,30504.529296875,30674.322265625,30426.10546875,31328.27734375,32709.958984375,32833.23828125,34106.0390625,34678.33203125,37379.43359375,36072.75390625,37530.3828125,39210.2734375,40816.26171875
ALB,Albania,cn,Capital stock at current PPPs (in mil. 2021US$),62579.734375,62967.5234375,63359.3046875,64448.82421875,66732.65625,70379.734375,75910.8125,97320.7265625,106958.34375,119917.5078125,134152.75,150299.1875,164769.515625,168428.03125,171346.3125,206277.40625,203614.4375,211923.6875,211866.796875,220434.625,231582.15625,235767.40625,242758.09375,253158.3125,262863
ALB,Albania,emp,Number of persons engaged (in millions),0.940675735473633,0.942997097969055,0.95162707567215,0.949252724647522,0.954126596450806,0.957292795181274,0.956243395805359,0.95743864774704,0.959961473941803,0.920032203197479,0.924646139144898,0.912912428379059,0.95427793264389,0.966450572013855,0.925046980381012,0.933820903301239,0.984531223773956,1.04458510875702,1.08628225326538,1.12976121902466,1.16120851039886,1.10912120342255,1.12774789333344,1.17305755615234,1.16954946517944
ALB,Albania,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.744460105896,2.8011474609375,2.8150897026062,2.8291015625,2.84318327903748,2.85733485221863,2.87155675888062,2.87803173065186,2.884521484375,2.89102554321289,2.89754462242126,2.90407800674438,2.93933033943176,2.98676872253418,2.98455333709717,2.98233938217163,2.98012733459473,2.9779167175293,2.97570776939392,2.98273301124573,2.98979878425598,2.99690508842468,3.00405287742615,3.0112419128418,3.01847267150879
